"","Region","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","state_index","region_index"
"389","West","california","CA-23",23,10.65169,"Suburban-Exurban",0,0,756057,0.485,68322,92714,34,0.134761003,0.118,0.043,3,2
"390","West","utah","UT-04",4,11.70206,"Dense Suburban",0,0,874074,0.488,100006,114708,31.5,0.09894128,0.236,0.021,31,2
"391","West","utah","UT-03",3,11.24393,"Suburban-Exurban",0,0,806633,0.498,87193,114753,30.8,0.126613962,0.294,0.018,31,2
"392","West","california","CA-02",2,10.21213,"Rural-Exurban",1,1,747410,0.507,92721,143695,45.5,0.236768307,0.257,0.036,3,2
"393","West","california","CA-26",26,11.6762,"Dense Suburban",1,1,758064,0.506,107265,147543,39.4,0.170844414,0.238,0.028,3,2
"394","West","california","CA-40",40,12.52466,"Urban-Suburban",1,0,742204,0.503,124144,159845,43.1,0.192022678,0.316,0.025,3,2
"395","West","california","CA-19",19,11.39059,"Suburban-Exurban",1,1,745616,0.502,118453,175344,41.4,0.202086597,0.279,0.024,3,2
"396","West","california","CA-24",24,10.90673,"Suburban-Exurban",1,1,750711,0.497,91784,122616,37.7,0.187602153,0.246,0.026,3,2
"397","West","california","CA-06",6,12.55663,"Urban-Suburban",1,1,749993,0.506,80409,103919,36.6,0.145234689,0.202,0.033,3,2
"398","West","california","CA-35",35,12.69247,"Urban-Suburban",1,1,769910,0.497,84692,102832,34.2,0.107626865,0.154,0.036,3,2
"399","West","washington","WA-03",3,10.83859,"Suburban-Exurban",0,1,789222,0.501,85196,111673,40.4,0.187109584,0.18,0.026,13,2
"400","West","california","CA-22",22,11.14961,"Suburban-Exurban",0,0,775019,0.483,54697,73829,30.3,0.09561572,0.073,0.048,3,2
"401","West","california","CA-41",41,11.54949,"Dense Suburban",1,0,797316,0.49,95306,123567,40.1,0.186320104,0.203,0.031,3,2
"402","West","colorado","CO-03",3,9.12253,"Mostly Rural",0,0,731516,0.498,67311,89336,41.8,0.209341969,0.224,0.022,11,2
"403","West","california","CA-45",45,13.2715,"Dense Urban",1,0,752508,0.503,100891,131008,40.8,0.172068603,0.252,0.027,3,2
"404","West","colorado","CO-01",1,12.90034,"Urban-Suburban",1,1,720042,0.495,87684,129542,35,0.123283086,0.358,0.027,11,2
"405","West","oregon","OR-05",5,10.97807,"Suburban-Exurban",1,0,719249,0.501,86573,116800,41.8,0.199523392,0.25,0.021,22,2
"406","West","oregon","OR-01",1,11.6196,"Dense Suburban",1,1,714598,0.501,89182,123435,38.3,0.159412705,0.265,0.024,22,2
"407","West","oregon","OR-02",2,8.90369,"Mostly Rural",0,0,700774,0.495,62171,83149,43.1,0.233150773,0.146,0.029,22,2
"408","West","nevada","NV-01",1,12.57916,"Urban-Suburban",1,1,767891,0.497,63781,87925,38.9,0.167719116,0.162,0.038,17,2
"409","West","california","CA-16",16,12.69778,"Urban-Suburban",1,1,735381,0.504,160623,252250,40.6,0.179766679,0.292,0.023,3,2
"410","West","washington","WA-08",8,10.57876,"Suburban-Exurban",1,1,765776,0.49,119767,162820,39.7,0.155165479,0.257,0.02,13,2
"411","West","washington","WA-10",10,11.72351,"Dense Suburban",1,1,788452,0.498,88325,106415,36.5,0.154979631,0.188,0.026,13,2
"412","West","washington","WA-07",7,12.81346,"Urban-Suburban",1,1,783927,0.49,115418,169142,36.2,0.139784699,0.372,0.024,13,2
"413","West","alaska","AK-01",1,8.7344,"Mostly Rural",1,1,733583,0.474,88121,106785,35.9,0.138326542,0.192,0.029,49,2
"414","West","california","CA-38",38,13.05118,"Dense Urban",1,1,720021,0.504,90687,116060,40.2,0.174783791,0.204,0.027,3,2
"415","West","california","CA-04",4,10.88493,"Suburban-Exurban",0,1,765203,0.501,87319,120019,39.3,0.190464491,0.203,0.036,3,2
"416","West","colorado","CO-08",8,11.73294,"Dense Suburban",NA,1,737452,0.495,92047,114194,35.4,0.121652663,0.198,0.026,11,2
"417","West","california","CA-29",29,13.2762,"Dense Urban",1,1,728732,0.495,67175,93964,36.6,0.130563774,0.179,0.049,3,2
"418","West","hawaii","HI-02",2,10.08184,"Rural-Exurban",1,1,722458,0.495,89314,110163,40.7,0.204104598,0.199,0.022,21,2
"419","West","hawaii","HI-01",1,12.29852,"Dense Suburban",1,1,717738,0.497,96086,119586,40.9,0.205084585,0.242,0.021,21,2
"420","West","idaho","ID-02",2,9.99565,"Rural-Exurban",0,0,954083,0.499,72674,92108,35.5,0.154233961,0.224,0.019,41,2
"421","West","montana","MT-02",2,8.61416,"Mostly Rural",NA,0,553536,0.499,69884,89221,40.5,0.202984088,0.216,0.017,48,2
"422","West","washington","WA-02",2,10.88959,"Suburban-Exurban",1,1,782277,0.497,82997,112828,40,0.199430636,0.23,0.026,13,2
"423","West","washington","WA-05",5,10.43452,"Rural-Exurban",0,0,785349,0.499,67085,96025,38.6,0.185337983,0.209,0.026,13,2
"424","West","wyoming","WY-01",1,8.52656,"Mostly Rural",0,0,581381,0.488,70042,88486,39.1,0.185743944,0.18,0.024,50,2
"425","West","nevada","NV-04",4,12.07472,"Dense Suburban",1,1,821679,0.497,70338,90471,36.9,0.153144963,0.143,0.037,17,2
"426","West","nevada","NV-02",2,10.38652,"Rural-Exurban",0,0,791398,0.491,79687,102689,40.2,0.19174423,0.176,0.029,17,2
"427","West","california","CA-01",1,9.84611,"Rural-Exurban",0,0,758561,0.496,64471,89083,38.7,0.189180567,0.164,0.038,3,2
"428","West","california","CA-05",5,10.6608,"Suburban-Exurban",1,0,778853,0.505,84734,117476,41.4,0.206017053,0.194,0.031,3,2
"429","West","nevada","NV-03",3,12.51288,"Urban-Suburban",1,1,796804,0.501,75550,105845,39.7,0.165811166,0.22,0.034,17,2
"430","West","california","CA-30",30,13.35822,"Dense Urban",1,1,732048,0.502,85046,127287,40,0.167505409,0.33,0.044,3,2
"431","West","california","CA-47",47,12.75985,"Urban-Suburban",1,1,752940,0.503,117944,167329,38.5,0.161201424,0.358,0.026,3,2
"432","West","montana","MT-01",1,8.95109,"Mostly Rural",0,0,569331,0.491,65994,91510,39.9,0.199843325,0.241,0.021,48,2
"433","West","california","CA-20",20,11.13707,"Suburban-Exurban",1,0,793325,0.499,82983,109435,35.3,0.14616204,0.183,0.028,3,2
"434","West","california","CA-52",52,12.86991,"Urban-Suburban",1,1,749240,0.503,79870,97953,35.3,0.13451364,0.181,0.04,3,2
"435","West","california","CA-42",42,13.38775,"Dense Urban",0,1,723841,0.507,73006,96607,36,0.124614384,0.173,0.033,3,2
